title,combined
Avengers Confidential: Black Widow to Punisher,"Action, Sci-Fi Madhouse Sony Pictures Entertainment Marvel Entertainment"
Nyanbo!,Comedy Shirogumi Discotek Media
Toumei Ningen R,Hentai Y.O.U.C Digital Works
Bari Bari Densetsu (1987),"Action, Drama Racing Pierrot"
Hajimari wa Kimi no Sora,"Idols (Female), Music Sunrise"
Muv-Luv Alternative,"Action, Drama, Sci-Fi Mecha, Military Yumeta Company, Graphinica, Flagship Line Dentsu, Fuji TV, BS Fuji, Avex Pictures, Crunchyroll, Tencent Japan, Bandai Namco Arts, aNCHOR"
Ginga Tetsudou Monogatari: Wasurerareta Toki no Wakusei,"Drama, Sci-Fi Space Planet Discotek Media"
Montana Jones,"Adventure, Comedy, Mystery Historical Studio Junio NHK"
Kohakuiro no Hunter The Animation,Hentai Seven Pink Pineapple
Lan Mo de Hua,Romance School Colored Pencil Animation Colored Pencil Animation Japan
Goal FH: Field Hunter,Sports Team Sports Image Kei NHK
Kidou Senshi Gundam-san,"Comedy Mecha, Parody Sunrise Nozomi Entertainment"
Net Ghost Pipopa,"Action, Adventure, Comedy, Sci-Fi Studio Hibari Milky Cartoon"
Love Letter (Music),"Music THINKR, Flat Studio"
.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,"Adventure, Comedy, Fantasy, Sci-Fi Video Game Bee Train"
Hoshi no Oujisama Petit Prince,Adventure Knack Productions TV Asahi Discotek Media
IGPX: Immortal Grand Prix,"Sci-Fi, Sports Mecha Bee Train, Production I.G Bandai Entertainment, Discotek Media"
Shinkansen Henkei Robo Shinkalion The Animation,"Action, Sci-Fi Mecha OLM Ajia-do, TBS"
Koukaku Kidoutai: SAC_2045 - Jizoku Kanou Sensou,"Action, Sci-Fi Adult Cast, Detective, Mecha, Military Production I.G, Sola Digital Arts Dentsu, Kodansha, flying DOG, Bandai Namco Arts"
Megaton-kyuu Musashi,"Action, Sci-Fi Mecha, School OLM Dentsu, Tokyo MX, Level-5"
Saredo Tsumibito wa Ryuu to Odoru,"Action, Drama, Fantasy, Sci-Fi Seven Arcs Pictures TBS, NBCUniversal Entertainment Japan Funimation"
JoJo no Kimyou na Bouken: Phantom Blood Pilot,"Action, Supernatural Vampire APPP KlockWorx"
Bakumatsu Gijinden Roman,"Fantasy Historical TMS Entertainment Sotsu, Nippon Columbia"
Choboraunyopomi Gekijou Ai Mai Mii,"Comedy Seven AT-X, Takeshobo, Dream Creation, SPO Entertainment"
Kawa no Hikari,"Adventure, Slice of Life Anthropomorphic, Iyashikei Gallop NHK"
Big Order,"Action Super Power asread. Lantis, Kadokawa Discotek Media"
Soushin Shoujo Matoi: Kabushiki Gaisha Knight Busters,"Supernatural White Fox Bandai Visual, Lantis"
Project BLUE Chikyuu SOS,"Adventure, Comedy, Sci-Fi A.C.G.T. ADV Films, Funimation"
Ryoujoku Hitozuma Onsen,"Hentai Kazuki Production, Studio March Milky Animation Label, MS Pictures JapanAnime"
Meiji Tokyo Renka Movie 1: Yumihari no Serenade,"Fantasy, Romance Reverse Harem, Time Travel Studio Deen MAGES."
Cestvs: The Roman Fighter,"Action, Drama Historical Bandai Namco Pictures Hakusensha, Fuji TV, Bandai, Bandai Namco Live Creative, BS Fuji, Hakuhodo DY Media Partners, Bandai Spirits"
Pokemon: Pikachu Koori no Daibouken,"Adventure, Comedy, Fantasy OLM"
Cinderella Girls Gekijou: Climax Season,"Comedy, Slice of Life Gathering, Lesprit Kadokawa"
Watashi to Watashi: Futari no Lotte,Slice of Life Tokyo Movie Shinsha
Koutetsu Sangokushi,Adventure Historical Picture Magic Nihon Ad Systems
Yumedamaya Kidan,"Drama, Fantasy Production I.G"
Maetel Legend,"Drama, Sci-Fi Space Vega Entertainment Central Park Media"
Aoi Sekai no Chuushin de,"Action, Adventure, Comedy, Fantasy, Ecchi Parody, Super Power Fifth Avenue DAX Production, S-Wood Media Blasters"
Soukan Yuugi 2,Hentai Y.O.U.C Digital Works
Wo Shi Da Shenxian,"Action, Fantasy Martial Arts CG Year Tencent Animation & Comics"
IDOLiSH7 Special Program: Kimi to Furikaeranai to!,"Drama Idols (Male), Music TROYCA"
Yuanshen: Xuqu PV - Zhi Zhongmu de Huanyan,"Fantasy Isekai, Mythology miHoYoAnime"
Anata wa Watashi no Mono,Hentai New Generation Mary Jane
Betsu ni Anta no Tame ni Ookiku Natta n ja Nai n Dakara ne!!,Hentai Studio Boogie Nights ChiChinoya
Code Geass: Hangyaku no Lelouch R2 Picture Drama - Last Moratorium,"Comedy, Slice of Life School Bandai Visual Funimation"
The Rapeman,Hentai TEC Pink Pineapple
Escha Chron,"Sci-Fi, Slice of Life CGDCT, Music Lerche DIVE II Entertainment, Avex Pictures Sentai Filmworks"
Mahoujin Guruguru Movie,"Adventure, Comedy, Fantasy Nippon Animation"
Kyouryuu Boukenki Jura Tripper,"Adventure, Drama, Fantasy, Sci-Fi Ashi Productions"
AIKa R-16: Virgin Mission,"Action, Comedy, Ecchi Studio Fantasia Bandai Visual Bandai Entertainment"
Ecchi na Shintai Sokutei Anime Edition,"Hentai Studio 9 Maiami MS Pictures, Chippai"
Air Recap,"Drama, Romance, Supernatural Kyoto Animation ADV Films"
Newmanoid Cam: Cam Castin,Hentai Anime Antenna Iinkai Pixy
Terra e... (TV) Specials,"Action, Drama, Sci-Fi Military, Space, Super Power Minami Machi Bugyousho"
Ginga Tetsudou 999: Eien no Tabibito Emeraldas,Sci-Fi Space Toei Animation
Anime Tenchou,Action Parody Gainax animate Film
Bullbuster,"Action, Sci-Fi Adult Cast, Mecha, Workplace Nut AT-X, Tokyo MX, Sammy, Kansai Telecasting, BS NTV, Kadokawa, P.I.C.S."
Rescue Me!,"Comedy, Erotica Harem, School Hoods Entertainment"
Hidamari Sketch: Chou Hidamatsuri Special,"Comedy CGDCT, Iyashikei, Visual Arts Shaft Aniplex, Lantis"
Daitoshokan no Hitsujikai Picture Drama,"Comedy, Ecchi Hoods Entertainment"
Dog Days Recap,"Action, Adventure, Fantasy Seven Arcs Aniplex"
Saki Biyori Animation,"Comedy, Slice of Life School Studio Gokumi Square Enix"
Crayon Shin-chan Gaiden: Kazokuzure Ookami,"Action, Comedy, Ecchi Samurai"
Ling Yu 2nd Season,Fantasy Haoliners Animation League iQIYI
Sword Gai The Animation Part II,"Action, Supernatural DLE, LandQ studios Production I.G"
Jue Shi Wu Hun,"Action, Fantasy Martial Arts Suoyi Technology Tencent Penguin Pictures"
Teizokurei Daydream,"Comedy, Drama, Horror, Supernatural, Ecchi HAL Film Maker Bandai Visual, Imagine Geneon Entertainment USA"
Haru Dorobou,"Drama, Romance Music MORIE Inc."
Chikan no Licence,Hentai Studio 1st MS Pictures Kitty Media
Soukyuu no Fafner: Dead Aggressor - Exodus Special,"Action, Drama, Sci-Fi Mecha, Military I.Gzwei Mainichi Broadcasting System"
Girls & Panzer: Saishuushou Part 1 - Fushou Akiyama Yukari no Sensha Kouza,"Educational, Military, School"
Bible Black: New Testament Recap,"Hentai Studio Jam Milky Animation Label, MS Pictures"
Sand Land,"Action, Adventure, Fantasy Martial Arts Sunrise, Anima, Kamikaze Douga Bandai, TOHO, Shueisha, Bandai Namco Filmworks"
Drifters (OVA): Kokuou-sama Goranshin,"Comedy Adult Cast, Parody Hoods Entertainment"
Koukyoushihen Eureka Seven Hi-Evolution 1,"Adventure, Drama, Sci-Fi Mecha Bones Bandai Visual, Mainichi Broadcasting System, Showgate, Bandai Namco Entertainment, Hakuhodo DY Music & Pictures Funimation"
Touch: Sebangou no Nai Ace,"Drama, Romance, Sports Team Sports Group TAC Asatsu DK, Fuji TV, TOHO"
Spirit of Wonder: Shounen Kagaku Club,"Drama, Sci-Fi Space Ajia-do Bandai Visual Bandai Entertainment"
Tachibanakan Triangle,"Comedy, Girls Love, Ecchi Creators in Pack, Studio Lings Ichijinsha, Cloud22"
Tiger & Bunny Pilot,"Action, Comedy Super Power Sunrise"
Puchimas!: Petit iDOLM@STER - Takatsuki Gold Densetsu Special!! Haruka-san Matsuri,"Comedy, Slice of Life Idols (Female), Music Gathering Funimation"
Gundam: G no Reconguista,"Action, Sci-Fi Mecha, Space Sunrise Sotsu, Mainichi Broadcasting System, Tohokushinsha Film Corporation Nozomi Entertainment"
Ikumonogakari The Animation,Hentai Blue bread Showten
Take Your Way,"Action, Supernatural Music NAZ"
L/R: Licensed by Royal,"Action, Adventure, Mystery Detective TNK Victor Entertainment, Fuji TV, Pioneer LDC Geneon Entertainment USA"
Transformers: The☆Headmasters,"Action, Adventure, Sci-Fi Mecha, Space Toei Animation Takara, Nippon Television Network Hasbro"
Ma ga Ochiru Yoru,Hentai Dream Entertainment Cranberry
Break Blade: Virgins War,"Action Adult Cast Production I.G, Xebec Bandai Visual"
Mujaki no Rakuen,"Comedy, Romance, Ecchi School, Time Travel Seven, Office No. 8 Hakusensha, Soft Garage"
Garo: Guren no Tsuki,"Action, Fantasy Mythology MAPPA Tohokushinsha Film Corporation Funimation"
Ojou to Banken-kun,"Romance Organized Crime, School Project No.9 Yomiuri Telecasting, Pony Canyon, Kodansha, Crunchyroll, Bit grooove promotion, BS Asahi, CHOCOLATE"
Umezu Kazuo no Noroi,Horror Takahashi Studio
Soreyuke! Uchuu Senkan Yamamoto Youko (1999),"Action, Adventure, Sci-Fi J.C.Staff Kadokawa Shoten"
Patalliro Saiyuuki!,"Adventure, Boys Love, Comedy, Fantasy Magic Bus"
Diabolik Lovers OVA,"Drama, Supernatural Reverse Harem, School, Vampire Zexcs Frontier Works"
Coo: Tooi Umi kara Kita Coo,"Adventure, Drama, Mystery, Slice of Life Toei Animation Kadokawa Shoten, Victor Entertainment, Pony Canyon, Nippon Television Network"
Cardfight!! Vanguard Gaiden: If,"Action, Adventure, Comedy Mythology, Parody, Strategy Game OLM"
Pokemon: Pikachu no Obake Carnival,"Adventure, Comedy, Fantasy OLM"
Lupin III: Pilot Film (1978),"Action, Adventure, Comedy, Mystery Adult Cast Tokyo Movie Shinsha, TOHO"
Toutotsu ni Egypt Shin 2,"Comedy, Fantasy Mythology Typhoon Graphics"
Aru Nihon no Ekaki Shounen,"Avant Garde, Award Winning, Comedy Nekonigashi Inc."
Choujigen Game Neptune: Hi☆Light,"Action, Comedy, Fantasy, Sci-Fi Parody"
Tentai Kansoku,"Slice of Life, Supernatural School Flat Studio TOHO animation, Sonilude"
Saint Beast: Kouin Jojishi Tenshi Tan,"Fantasy Tokyo Kids, Yuhodo Avex Entertainment, Lantis, Marvelous AQL"
Project Scard: Praeter no Kizu,"Action Super Power GoHands Frontier Works, Glovision Funimation"
Stella-Rium,Music
Xiyou Ji: Dasheng Guilai,"Adventure, Fantasy, Supernatural Historical, Martial Arts October Media Bytehoo"
Inda no Himekishi Janne,"Fantasy, Horror, Hentai Himajin Planning"
Gundam Build Divers: Battlogue,"Action, Sci-Fi Mecha Sunrise Beyond Sunrise Nozomi Entertainment"
Pokemon: Pikachu no Kirakira Daisousaku!,"Adventure, Comedy, Fantasy OLM"
FLCL: Shoegaze,"Action, Avant Garde, Comedy, Sci-Fi Mecha, Parody Production I.G, Nut, Akatsuki"
Kero 0: Shuppatsu da yo! Zenin Shuugou!,"Action, Adventure, Comedy, Sci-Fi Mecha, Space Sunrise"
Aniyome,Hentai Y.O.U.C Digital Works Critical Mass Video
Sanctuary,"Action, Drama, Suspense Detective, Organized Crime Pastel VAP, TOHO VIZ Media"
Shounen Hollywood: Holly Stage for 49,"Idols (Male), Music, Performing Arts Zexcs Funimation"
Sol Bianca,"Action, Adventure, Sci-Fi Space AIC Half H.P Studio, NEC Avenue ADV Films"
Wan Jie Shen Zhu 2nd Season,"Adventure, Fantasy Ruo Hong Culture"
Hatsujou Switch: Otosareta Shoujo-tachi - The Animation,Hentai Seven Pink Pineapple
Oscar's Oasis,Comedy TUBA
Shin Hitou Meguri,Hentai PoRO
Pet Life,Hentai Kantou Douga Kai Mary Jane
Kitarou Tanjou: Gegege no Nazo,"Comedy, Supernatural Mythology Toei Animation"
Hataraku Oniisan! no 2!,"Comedy Anthropomorphic, Workplace Fanworks, Tomovies Lantis, Movic, Half H.P Studio, BS Fuji, Tokyo MX, Good Smile Company, Bandai Namco Arts"
Virgin Night,Hentai Shinkuukan Green Bunny
Ryuudouji Shimon no Inbou,"Hentai Anime Antenna Iinkai Mediabank, Gold Bear"
Osu!! Karate-bu,"Martial Arts, School J.C.Staff Nihon Eizo"
Shin Ringetsu,"Drama, Supernatural, Hentai Kami Kukan Milky Animation Label Kitty Media"
Psychotic Polka,"Idols (Female), Music SANZIGEN Hololive Production"
Miss Monochrome The Animation: Manager,"Comedy, Slice of Life Idols (Female), Music SANZIGEN Starchild Records"
Queen's Blade: Rurou no Senshi Specials,"Action, Adventure, Fantasy, Ecchi Arms Genco, Media Factory, Hobby Japan Media Blasters"
Taishou Roman,Romance Music Shaft
Tomorrow's Leaves,Fantasy Studio Ponoc
Lutu Weiji! Sheng Freya Hao Tebie Shijian,"Comedy, Mystery, Sci-Fi Space HuaMei Animation miHoYoAnime"
Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,"Comedy, Ecchi Chaos Project Starchild Records"
Huan Jie Wang,"Action, Adventure, Fantasy Tencent Animation & Comics"
Umayuru,Comedy Anthropomorphic Scooter Films
Sasuke,"Action Historical, Martial Arts Eiken Tele-Cartoon Japan"
Long She Yanyi,"Action Martial Arts Xuni Ying Ye bilibili, Wonder Cat Animation"
Shenhai,"Adventure, Fantasy October Media Horgos Coloroom Pictures Co., Ltd."
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. Specials,Comedy
DD Hokuto no Ken (2013),"Parody Ajia-do TV Tokyo, North Stars Pictures Sentai Filmworks"
Code Geass: Hangyaku no Lelouch Picture Drama - Kiseki no Anniversary,Slice of Life School Sunrise
Min Diao Ju Yi Wen Lu,"Action, Adventure, Supernatural, Suspense B.CMAY PICTURES"
Wu Nao Monu,"Drama, Fantasy Changchun Unity of Knowledge and Action Animation"
Kororon,Music
Full Metal Panic! Invisible Victory Intermission,"Action Mecha, Military Xebec Funimation"
.hack//Versus: The Thanatos Report,"Action, Sci-Fi Video Game Anima"
Starship Troopers: Red Planet,"Action, Sci-Fi Military Sola Digital Arts Lucent Pictures Entertainment, Kadokawa, Sony Pictures Worldwide Acquisitions"
Kyoushoku Soukou Guyver,"Action, Horror, Sci-Fi Gore, Super Power animate Film, Studio Live Movic, Network"
Nyani ga Nyandaa Nyandaa Kamen,"Comedy Sunrise Nagoya Broadcasting Network, Tokyu Agency"
Bannou Bunka Neko-Musume DASH!,"Action, Comedy, Romance, Sci-Fi, Ecchi Ashi Productions Movic ADV Films, Discotek Media"
Chou Yuu Sekai: Being the Reality,"Action, Adventure, Fantasy, Romance Video Game Asahi Production, Success Corp. Tencent Animation & Comics"
Fluximation,Music Studio 4°C
Najica Dengeki Sakusen,"Action, Comedy, Sci-Fi, Ecchi Studio Fantasia GDH, Media Factory, Nippon Columbia, Amber Film Works ADV Films"
Porte,Warner Music Japan
Pokemon: Pikachu no Fushigi na Fushigi na Daibouken,"Adventure, Comedy, Fantasy OLM"
Croket!,"Action, Adventure, Comedy, Fantasy OLM TV Tokyo, Shogakukan-Shueisha Productions"
Kandagawa Jet Girls,"Sci-Fi, Ecchi Racing TNK Marvelous Entertainment, AT-X, Egg Firm, Kadokawa, Bandai Namco Arts, Legs Sentai Filmworks"
Lucky☆Orb feat. Hatsune Miku,Music
Pokemon: Pikachu Tanken Club,"Adventure, Comedy, Fantasy OLM"
Bloodivores,"Action, Mystery, Supernatural Vampire Creators in Pack, Namu Animation Emon, Cloud22"
3 Choume no Tama: Uchi no Tama Shirimasen ka?,"Adventure Pets Group TAC Sony Music Entertainment, Sony Creative Products"
Lu Shidai 2nd Season,"Action, Adventure, Comedy Parody, Video Game Haoliners Animation League, Colored Pencil Animation Penta Show Studios, Colored Pencil Animation Japan"
Tatakae!! Iczer-1,"Action, Sci-Fi, Ecchi Mecha AIC Toshiba EMI Media Blasters"
Mini Van,"Comedy Parody, Strategy Game DLE"
Denshin Mamotte Shugogetten,"Comedy, Fantasy, Romance Toei Animation"
Qi Hou Bilu,"Action, Adventure, Fantasy Martial Arts L²Studio bilibili"
Love♥Love?,"Comedy, Romance, Ecchi Harem Imagin, Studio Live m.o.e. Maiden Japan"
Genocyber,"Action, Horror, Sci-Fi Gore, Mecha, Psychological Artmic Bandai Visual Central Park Media, Discotek Media"
Getter Robo G,"Action, Sci-Fi Mecha Toei Animation Fuji TV, Dynamic Planning"
Bitch Gakuen ga Seijun na Hazu ga Nai!!? The Animation,Hentai Anime Antenna Iinkai Showten
Izumo: Takeki Tsurugi no Senki,"Adventure, Drama, Fantasy, Romance Isekai, Martial Arts Trinet Entertainment, Studio Kyuuma Tokyo Kids Discotek Media"
"Ququ Bucai, Zaixia Yeguai 2nd Season","Action, Adventure, Comedy, Fantasy Kung Fu Frog Animation bilibili"
Love Live! Kouhaku Special Anime,"Idols (Female), Music Sunrise"
Kansen 3: Shuto Houkai,Hentai Suzuki Mirano
Aoshi Jiuchong Tian,"Action, Adventure, Fantasy Historical, Martial Arts Foch Films bilibili, China Literature Limited"
King of Prism: Shiny Seven Stars,"Sports Idols (Male), Music Tatsunoko Production"
Jiu Tian Xuan Di Jue,"Adventure, Fantasy Martial Arts, Mythology Ruo Hong Culture Youku"
Dogeza de Tanondemita,"Comedy, Fantasy, Ecchi Adonero DAX Production, DMM pictures, DMM Music"
Aquarian Age: Sign for Evolution,"Action, Adventure, Fantasy, Romance, Sci-Fi Music, Super Power Madhouse Broccoli ADV Films"
"Omiai Aite wa Oshiego, Tsuyoki na, Mondaiji.",Hentai School Seven Studio Mausu
Netsuzou TRap,"Drama, Girls Love Creators in Pack DMM.com, Ichijinsha, Cloud22"
True Tears: Raigomaru to Jibeta no Monogatari,"Drama, Romance P.A. Works Bandai Visual, Lantis"
Kaibutsu-kun (1980),"Comedy, Horror Shin-Ei Animation"
Weekender Girl,"Music Sega, Toy's Factory"
Jian Yu Feng Yun,"Action, Adventure, Fantasy Martial Arts Ruo Hong Culture Youku"
Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe,"Comedy Seven Dream Creation, Studio CHANT"
Tantei Opera Milky Holmes: Arsene Karei naru Yokubou,"Comedy, Mystery Detective, Parody, Super Power J.C.Staff Bushiroad"
Getsumen to Heiki Mina,"Action, Comedy, Sci-Fi, Ecchi Parody, Super Power Gonzo Pony Canyon, Studio Tulip, Sony Music Entertainment, Sotsu Music Publishing"
Monkey Punch: Manga Katsudou Daishashin,"Action, Adventure, Comedy, Ecchi Gag Humor, Parody TMS Entertainment WOWOW"
Shintaisou: Kari,Hentai ORADA COMPANY Pink Pineapple Media Blasters
Kara no Kyoukai Movie: Mirai Fukuin - Manner Movie,Drama ufotable Aniplex Aniplex of America
Giniro no Olynsis: Tokito,"Adventure, Drama, Romance Mecha Toei Animation Happinet Pictures, Nagoya Broadcasting Network, Asahi Broadcasting"
D.C.III: Da Capo III Special,"Drama, Romance Music, School Kazami Gakuen Koushiki Douga-bu"
Mashin Eiyuuden Wataru 2,"Action, Adventure, Comedy Isekai, Mecha Sunrise"
Sore wo Ai to Yobu dake,"Music Enishiya, Toho Interactive Animation"
Tamayomi,"Sports School, Team Sports Studio A-CAT Sotsu, ABC Animation, A3 Funimation"
Shin Hikari Shinwa: Palutena no Kagami,"Adventure, Comedy, Fantasy Production I.G, Studio 4°C, Shaft"
Ana no Oku no Ii Tokoro,"Hentai Studio 9 Maiami Queen Bee, Mediabank"
Beyblade X,"Adventure, Sports OLM"
Papa Katsu!,Hentai Nur
Dragon's Dogma,"Action, Adventure, Fantasy Sublimation"
Lu Shidai,"Action, Adventure, Comedy Parody, Video Game Haoliners Animation League, Colored Pencil Animation Penta Show Studios, Colored Pencil Animation Japan"
Gegege no Kitarou (1971),"Adventure, Supernatural Mythology, Super Power Toei Animation"
Oishi-sa Hajikeru! One Piece,Comedy Toei Animation
Furyou ni Hamerarete Jusei Suru Kyonyuu Okaasan The Animation,Hentai Office TakeOut Pink Pineapple
Xiao Mo Tou Baolu La!,Comedy Wawayu Animation
Tales of the Abyss Special Fan Disc,"Comedy, Slice of Life Sunrise"
Dragon Age: Blood Mage no Seisen,"Action, Fantasy Oxybot Funimation"
Mottainai (Special),Slice of Life CoMix Wave Films
Hatsukoi Monster,"Comedy, Romance School Studio Deen Kodansha, AT-X, DAX Production, KlockWorx, Sony Music Communications, King Records Funimation"
UFO Robo Grendizer tai Great Mazinger,"Action, Sci-Fi Mecha Toei Animation Dynamic Planning"
Cheburashka Arere?,"Comedy, Slice of Life GoHands Dream Force"
Mirai no Watashi,"Comedy, Slice of Life Studio Colorido"
Kuruneko 2nd Season,"Comedy, Slice of Life Pets DAX Production Kadokawa Pictures Japan, Kansai Telecasting, Tokai Television"
Akage no Anne: Green Gables e no Michi,Adventure Historical Nippon Animation
Top wo Nerae! Kagaku Kouza,"Comedy, Sci-Fi Mecha Gainax Discotek Media"
Love Bitch: Yasashii Onna,"Hentai T-Rex MS Pictures, BOOTLEG Kitty Media"
Senkou,Action Music
Turn A Gundam I: Chikyuukou,"Action, Drama, Sci-Fi Mecha, Military, Space Sunrise Sotsu, Atelier Musa Nozomi Entertainment"
Nerawareta Megami Tenshi Angeltia: Mamotta Ningen-tachi ni Uragirarete,Hentai PoRO
Youkai Watch: Shadow Side,"Comedy, Supernatural Mythology OLM TV Tokyo"
Kitty's Paradise,Fantasy Sanrio Bones ADV Films
Yatterman,"Adventure, Comedy Parody Tatsunoko Production"
Tori no Uta,Fantasy Toei Animation
Nisoku Hokou,Music U/M/A/A Inc.
Chiba Pedal: Yowamushi Pedal to Manabu Jitensha Koutsuu Anzen,Educational
Jinki:Extend,"Sci-Fi Mecha feel. TV Asahi, GANSIS ADV Films, Funimation"
Deca-Dence: Install,"Action, Adventure, Sci-Fi Nut Kadokawa"
Chocolat no Mahou,"Drama, Supernatural SynergySP"
Candy Candy: Haru no Yobigoe,"Drama, Romance Toei Animation"
Short Peace Opening,"Fantasy, Sci-Fi, Supernatural Sunrise Sentai Filmworks"
Ben-To Picture Drama,Comedy David Production AT-X
Mr. Fixer,"Music, Psychological"
Kansen 2: Inzai Toshi,Hentai Suzuki Mirano
Hinamatsuri,Historical Gakken
Endride,"Action, Adventure, Fantasy Isekai Brain's Base, Lapin Track VAP, Nippon Television Network, Nippon Television Music, Takara Tomy A.R.T.S, CyberAgent, Forecast Communications Funimation"
TO,"Action, Drama, Sci-Fi Space Oxybot Funimation"
Android Ana Maico 2010,"Comedy, Drama, Sci-Fi Adult Cast, Showbiz, Workplace Group TAC, Animaruya Pony Canyon, animate Film, Movic"
Kimi to Boku,"Drama, Slice of Life Pets Universal Radio Studio"
Karakuri Kiden: Hiwou Senki,"Action, Adventure Historical, Mecha Bones Bandai Visual Bandai Entertainment"
Seton Doubutsuki: Risu no Banner,Drama Nippon Animation
Inyouchuu The Animation,"Supernatural, Hentai School Suzuki Mirano Anime Antenna Iinkai"
Weiß Survive R,"Comedy, Ecchi Strategy Game Studio Hibari TBS"
Quiz Magic Academy: The Original Animation,"Action, Comedy, Fantasy School AIC PLUS+"
Shigofumi Picture Drama,"Comedy J.C.Staff Bandai Visual, Genco, Lantis, Rakuonsha"
Pokemon XY: New Year Special,"Action, Adventure, Comedy, Fantasy OLM TV Tokyo"
Golden Douga Gekijou,"Comedy W-Toon Studio, DMM.futureworks NBCUniversal Entertainment Japan"
Ero Konbini Tenchou,Hentai PoRO
Aikatsu Planet!,"Slice of Life Idols (Female), Music, School Bandai Namco Pictures Sunrise Music"
Bio Hunter,"Action, Horror Gore, Mythology Madhouse BMG Japan Urban Vision"
Youkai Watch!,"Comedy, Supernatural Mythology OLM, Magic Bus"
Utawarerumono OVA Picture Drama,"Comedy, Fantasy Frontier Works Sentai Filmworks"
Monster Strike: Mermaid Rhapsody,"Action, Fantasy Video Game Studio Hibari, Ultra Super Pictures"
Shikoyaka Naru Toki mo Hameru Toki mo,"Hentai Blue bread Queen Bee, Mediabank"
Inkou Kyoushi no Sai* Seikatsu Shidouroku,"Hentai T-Rex Lune-Pictures, Antechinus"
A-Ko The Versus,"Action, Adventure, Comedy, Romance, Sci-Fi Super Power Studio Fantasia, Studio Signal Central Park Media"
Wanneng Lian Ai Zahuo Dian,"Fantasy, Romance TthunDer Animation"
Ro-Kyu-Bu! SS Recap,"Comedy, Sports, Ecchi School, Team Sports Barnum Studio, Project No.9 AT-X, Warner Bros. Japan, KlockWorx, ASCII Media Works"
Injutsu no Yakata The Animation,"Hentai Studio Eromatick MS Pictures, BOOTLEG"
Angelique,"Drama, Fantasy, Romance, Sci-Fi Reverse Harem Yumeta Company"
Ken En Ken: Aoki Kagayaki,"Action, Adventure, Fantasy Martial Arts, Mythology Studio Deen TV Tokyo, Ai Addiction Inc."
Boku no Marie,"Comedy, Romance, Sci-Fi, Ecchi Pierrot ADV Films"
Shiranpuri (Special),Drama School Shirogumi
Karada de Kaiketsu Hyakkiya Tantei Jimusho,Hentai Mousou Senka
Xi Xing Ji,"Action, Adventure, Fantasy Historical, Martial Arts BYMENT Tencent Penguin Pictures"
KO Seiki Beast Sanjuushi,"Action, Adventure, Comedy, Fantasy, Supernatural Mecha animate Film, Zero-G Room Movic, Sony Music Entertainment Nozomi Entertainment"
Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,"Comedy Seven Dream Creation, On-Lead"
Hello Harinezumi: Satsui no Ryoubun,"Drama, Mystery Psychological Studio Deen Sony Pictures Entertainment, animate Film Central Park Media, NYAV Post"
Choujin Densetsu Urotsukidouji,"Action, Drama, Hentai Mythology Phoenix Entertainment"
Bakegyamon,"Action, Fantasy Isekai, Mythology, Strategy Game Radix TV Tokyo, Dentsu"
Encore,Music
Poputepipikku Kinen,Sports Parody Space Neko Company
Gatchaman,"Action, Adventure, Sci-Fi Martial Arts, Super Power Tatsunoko Production Nippon Columbia, Harmony Gold Sentai Filmworks, Urban Vision"
Ookami-san wa Taberaretai,"Hentai School Peak Hunt Studio Mausu, Suiseisha Ascendent Animation"
Bonobono (TV),Comedy Anthropomorphic Group TAC
Kansen Sodom,Hentai Shion Mousou Jitsugen Media
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA,"Comedy, Ecchi Parody, School AIC Classic AIC, AMG MUSIC Sentai Filmworks"
Friends: Mononoke Shima no Naki,"Comedy, Fantasy Shirogumi, Robot Communications Sony Music Entertainment, Yahoo! Japan"
Mahou no Princess Minky Momo: Yume no Naka no Rondo,Mahou Shoujo Ashi Productions
Maple Colors,"Hentai Image House Milky Animation Label, MS Pictures Critical Mass Video"
Manga Mitokoumon,Historical Knack Animation
Touch 2: Sayonara no Okurimono,"Drama, Romance, Sports Team Sports Group TAC OB Planning, Asatsu DK, Fuji TV, TOHO"
Guskou Budori no Denki (2012),"Award Winning, Drama, Fantasy, Slice of Life Anthropomorphic Tezuka Productions Bandai Visual, Dentsu, Asahi Shimbun, BS11, Visual Vision, Rironsha, Media Do, Studio Elle, BS NTV Sentai Filmworks"
Shin Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,"Adventure, Fantasy, Romance Harem, Isekai Hotline TV Tokyo, HoriPro, KlockWorx, Glovision, Docomo Anime Store, Futabasha, bilibili, Bushiroad Move"
Pokemon: Pikachu to Pokemon Ongakutai,"Adventure, Fantasy OLM The Pokemon Company International"
Cele Kano,Hentai Y.O.U.C Digital Works Kitty Media
Ningyo,Fantasy Mushi Production
Wo Shi Da Shenxian 2nd Season,"Action, Fantasy Martial Arts CG Year Tencent Animation & Comics"
Valkyrie Choukyou Semen Tank no Ikusa Otome 10-nin Shimai,Hentai PoRO
