title,combined
Cyberpunk: Edgerunners,"Action, Sci-Fi Gore, Organized Crime Trigger CD Projekt Red"
Kiseijuu: Sei no Kakuritsu,"Action, Horror, Sci-Fi, Suspense Gore, Psychological Madhouse VAP, Nippon Television Network, Forecast Communications Sentai Filmworks"
Gintama,"Action, Comedy, Sci-Fi Gag Humor, Historical, Parody, Samurai Sunrise TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha Sentai Filmworks, Crunchyroll"
"""Oshi no Ko""","Award Winning, Drama, Supernatural Reincarnation, Showbiz Doga Kobo Shueisha, CyberAgent, Kadokawa Sentai Filmworks"
Boku dake ga Inai Machi,"Mystery, Supernatural, Suspense Psychological, Time Travel A-1 Pictures Aniplex, Dentsu, Kadokawa Shoten, Fuji TV, DAX Production, Kyoraku Industrial Holdings, Kansai Telecasting, Lawson, Kanetsu Investment, C-one Aniplex of America"
Mushoku Tensei: Isekai Ittara Honki Dasu,"Adventure, Drama, Fantasy, Ecchi Isekai, Reincarnation Studio Bind Frontier Works, TOHO, TOHO animation, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE, Toho Music Funimation"
Haikyuu!! To the Top Part 2,"Sports School, Team Sports Production I.G Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha Sentai Filmworks"
Mahou Shoujo Madoka★Magica,"Award Winning, Drama, Fantasy, Suspense Mahou Shoujo, Psychological Shaft Aniplex, Mainichi Broadcasting System, Movic, Nitroplus, Houbunsha Aniplex of America"
Shingeki no Kyojin: The Final Season - Kanketsu-hen,"Action, Drama, Suspense Gore, Military, Survival MAPPA Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprises"
Ookami Kodomo no Ame to Yuki,"Award Winning, Fantasy, Slice of Life Childcare Studio Chizu Madhouse, VAP, Dentsu, Yomiuri Telecasting, Kadokawa Shoten, TOHO, Hiroshima Television Funimation"
Great Teacher Onizuka,"Comedy Delinquents, School, Workplace Pierrot Aniplex, Fuji TV Discotek Media, Tokyopop"
Naruto: Shippuuden,"Action, Adventure, Fantasy Martial Arts Pierrot TV Tokyo, Aniplex, KSS, Rakuonsha, TV Tokyo Music, Shueisha VIZ Media"
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"Drama, Romance, Supernatural School CloverWorks Aniplex, Tokyo MX, Hakuhodo DY Music & Pictures, Nagoya Broadcasting Network, BS11, ABC Animation, Kadokawa Aniplex of America"
